n,Travel Time (s),Function Calls,Wall Time (s)
4,0.6145164849549923,24,0.006010532379150391
8,0.6035116942726395,98,0.010510921478271484
16,0.5994635238966111,405,0.02899622917175293
32,0.5976564210900032,1612,0.15352511405944824
64,0.5967714677863525,6741,1.2529356479644775
128,0.5989686001387596,15113,4.2101829051971436
